Yaw_Set_ID,WD,WS,TI,Farm_Power_kW,Yaw_T0,Power_T0,Yaw_T1,Power_T1,Yaw_T2,Power_T2,Yaw_T3,Power_T3
3,280.0,10.0,0.125,12769.990358581921,20.0,3063.490467724637,20.0,3063.490467724637,0.0,3318.7532242840234,0.0,3324.256198848625
3,280.0,10.0,0.16250000000000003,12668.881790850246,20.0,3063.490467724637,20.0,3063.490467724637,0.0,3266.701265726283,0.0,3275.199589674689
3,280.0,10.0,0.2,12591.561332112351,20.0,3063.490467724637,20.0,3063.490467724637,0.0,3226.4867783964646,0.0,3238.0936182666137
3,280.0,11.0,0.05,17063.49895900083,20.0,4034.554609849252,20.0,4034.554609849252,0.0,4496.8267421911305,0.0,4497.562997111195
3,280.0,11.0,0.08750000000000001,16981.242780279445,20.0,4034.554609849252,20.0,4034.554609849252,0.0,4454.742307076188,0.0,4457.391253504752
3,280.0,11.0,0.125,16847.76999131854,20.0,4034.554609849252,20.0,4034.554609849252,0.0,4386.353184225584,0.0,4392.307587394451
3,280.0,11.0,0.16250000000000003,16710.91637677211,20.0,4034.554609849252,20.0,4034.554609849252,0.0,4315.980793717363,0.0,4325.826363356245
3,280.0,11.0,0.2,16607.86264484078,20.0,4034.554609849252,20.0,4034.554609849252,0.0,4262.323523564495,0.0,4276.429901577782
4,270.0,8.0,0.05,4731.691496239235,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,489.55136295415315,0.0,1029.2303990292698
4,270.0,8.0,0.08750000000000001,5088.357724436286,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,770.6244985843049,0.0,1104.823491596169
4,270.0,8.0,0.125,5409.077511163294,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,1002.4545151721879,0.0,1193.7132617352943
4,270.0,8.0,0.16250000000000003,5656.573971162162,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,1154.4882996122653,0.0,1289.175937294085
4,270.0,8.0,0.2,5853.782130845473,0.0,1753.954459179171,25.0,1458.9552750766406,0.0,1270.3260436601556,0.0,1370.5463529295057
4,270.0,9.0,0.05,6750.386520295757,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,709.6643468204607,0.0,1448.7019904901576
4,270.0,9.0,0.08750000000000001,7266.413994800087,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1112.8314796199195,0.0,1561.5623321950293
4,270.0,9.0,0.125,7702.796888968059,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1411.4962820553076,0.0,1699.280423927613
4,270.0,9.0,0.16250000000000003,8071.923338419357,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1638.6902493695143,0.0,1841.212906064704
4,270.0,9.0,0.2,8369.134706498433,0.0,2496.427861835767,25.0,2095.5923211493714,0.0,1811.662463200603,0.0,1965.4520603126916
4,270.0,10.0,0.05,9281.121215098776,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,997.5213976995215,0.0,2002.096602914021
4,270.0,10.0,0.08750000000000001,9960.945988394982,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,1518.1632652668993,0.0,2161.2795086428496
4,270.0,10.0,0.125,10577.6557867146,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,1951.218889634362,0.0,2344.9336825950068
4,270.0,10.0,0.16250000000000003,11062.370154303506,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,2266.5056187366577,0.0,2514.3613210816166
4,270.0,10.0,0.2,11448.396229434631,0.0,3417.7970050915737,25.0,2863.706209393658,0.0,2481.877392934788,0.0,2685.01562201461
